,0,1,2,3,4,5,6,7,8,9
612,"(100.73115, 222.05411)","(100.73042, 222.07526)","(100.7276, 222.10231)","(100.727615, 222.11688)","(100.67478, 222.21652)","(100.63646, 222.2955)","(100.629875, 222.3909)","(100.65647, 222.4982)","(100.834854, 222.7104)","(101.56207, 222.25258)"
613,"(604.5109, 151.05838)","(604.51337, 151.08362)","(604.5119, 151.11026)","(604.51, 151.13745)","(604.5193, 151.1192)","(604.51447, 151.11044)","(604.5167, 151.10017)","(604.51306, 151.09332)","(604.5139, 151.09254)","(604.5147, 151.09209)"
614,"(1006.948, 216.29195)","(1006.95044, 216.30989)","(1006.95264, 216.325)","(1006.95416, 216.34154)","(1006.9532, 216.344)","(1006.9521, 216.34657)","(1006.95026, 216.3414)","(1006.94775, 216.33415)","(1006.94794, 216.33517)","(1006.94995, 216.34093)"
615,"(36.061897, 215.48952)","(36.076416, 215.50572)","(36.11434, 215.5152)","(36.13716, 215.53049)","(36.155685, 215.529)","(36.172882, 215.53261)","(36.18953, 215.5331)","(36.20558, 215.53552)","(36.219257, 215.54037)","(36.23163, 215.54088)"
616,"(112.816795, 596.65326)","(112.82031, 596.6523)","(112.82284, 596.6511)","(112.821075, 596.64905)","(112.8354, 596.6589)","(112.832214, 596.6785)","(112.840004, 596.6936)","(112.830734, 596.72034)","(112.84658, 596.73596)","(112.847885, 596.74396)"
617,"(908.8939, 282.77914)","(908.8946, 282.77124)","(908.89575, 282.7676)","(908.8973, 282.75317)","(908.8958, 282.7661)","(908.89606, 282.7664)","(908.8952, 282.77054)","(908.89514, 282.77026)","(908.88226, 282.7775)","(908.87286, 282.77408)"
618,"(20.552711, 89.74829)","(20.549957, 89.750946)","(20.54689, 89.76049)","(20.53505, 89.76976)","(20.536066, 89.77557)","(20.536457, 89.78246)","(20.537031, 89.78708)","(20.536345, 89.790855)","(20.555431, 89.805855)","(20.574898, 89.806274)"
619,"(576.33545, 480.7429)","(576.3363, 480.73965)","(576.33734, 480.72675)","(576.3333, 480.7199)","(576.34204, 480.7113)","(576.3326, 480.69763)","(576.33264, 480.684)","(576.3239, 480.6706)","(576.32904, 480.64627)","(576.3322, 480.61838)"
620,"(1003.37256, 611.6661)","(1003.36694, 611.6483)","(1003.3613, 611.6209)","(1003.3493, 611.59875)","(1003.3635, 611.5948)","(1003.36707, 611.58936)","(1003.378, 611.5875)","(1003.38855, 611.58746)","(1003.38916, 611.5775)","(1003.38873, 611.5727)"
621,"(960.5897, 89.16862)","(960.588, 89.1933)","(960.59467, 89.23066)","(960.5855, 89.22555)","(960.6062, 89.20714)","(960.61743, 89.17761)","(960.6367, 89.15345)","(960.645, 89.08541)","(960.6428, 89.085754)","(960.64636, 89.089424)"
622,"(1012.2167, 100.10588)","(1012.2047, 100.123276)","(1012.1966, 100.12178)","(1012.1852, 100.13499)","(1012.1781, 100.14219)","(1012.1669, 100.152405)","(1012.15326, 100.15635)","(1012.11816, 100.153305)","(1012.1221, 100.16068)","(1012.11957, 100.15806)"
623,"(222.42863, 254.77226)","(222.43652, 254.76611)","(222.45918, 254.75989)","(222.47534, 254.75153)","(222.47937, 254.75993)","(222.49188, 254.76132)","(222.49327, 254.7641)","(222.49342, 254.76518)","(222.49321, 254.76494)","(222.49101, 254.76256)"
624,"(1051.8243, 620.01074)","(1051.8666, 620.0164)","(1051.9288, 620.04364)","(1051.9946, 620.0601)","(1052.0173, 620.0851)","(1052.0463, 620.10187)","(1052.0692, 620.1181)","(1052.0975, 620.1329)","(1052.1373, 620.15826)","(1052.1788, 620.1796)"
625,"(998.15533, 98.88738)","(998.1653, 98.85745)","(998.1889, 98.81838)","(998.2001, 98.791885)","(998.18713, 98.77169)","(998.73376, 98.01667)","(998.75604, 98.08535)","(998.4084, 98.64578)","(998.784, 98.90679)","(998.8447, 98.94011)"
626,"(863.70013, 378.4112)","(863.7109, 378.4065)","(863.722, 378.40723)","(863.73193, 378.40192)","(863.7149, 378.3982)","(863.69995, 378.40045)","(863.7292, 378.40698)","(863.66284, 378.38654)","(863.9017, 378.46106)","(863.83746, 378.54114)"
